symbol,side,opened_dt,closed_dt,days,entry,exit,reason,pnl
UNI,LONG,2024-05-27,2024-06-11,15,11.177,8.776057888945882,cat_stop,-10.0
ETH,LONG,2024-05-26,2024-06-14,19,3751.16,3469.18,ema_cross,-5.3158941554079275
ONDO,LONG,2024-05-30,2024-06-18,19,1.166,1.1071,ema_cross,-3.590606174957116
XRP,SHORT,2024-06-13,2024-07-13,30,0.4916,0.5527488478583643,cat_stop,-8.766601134714275
XLM,SHORT,2024-06-11,2024-07-14,33,0.10001,0.10216,ema_cross,-1.561451454854514
WLD,SHORT,2024-06-16,2024-07-19,33,3.387,2.648,ema_cross,15.22321228225568
FET,SHORT,2024-06-17,2024-07-19,32,1.472,1.4025,ema_cross,3.250349184782604
ID,SHORT,2024-06-19,2024-07-19,30,0.45949,0.46339,ema_cross,-0.6503746327450022
DOGE,SHORT,2024-07-15,2024-07-19,4,0.11527,0.11948,ema_cross,-2.61362887134554
HBAR,SHORT,2024-07-20,2024-07-21,1,0.0746,0.07456,ema_cross,-0.018451474530832637
XLM,LONG,2024-07-22,2024-08-03,12,0.10541,0.09547,ema_cross,-6.654251399297982
XRP,LONG,2024-07-20,2024-08-05,16,0.573,0.46575168128592037,cat_stop,-10.0
TON,SHORT,2024-08-06,2024-08-09,3,5.2665,6.446432541200489,cat_stop,-10.0
UNI,SHORT,2024-07-20,2024-08-24,35,7.989,6.995,ema_cross,8.656959319063711
ENA,SHORT,2024-07-14,2024-08-26,43,0.3992,0.3486,ema_cross,8.820294589178355
HBAR,SHORT,2024-08-04,2024-08-26,22,0.05818,0.05895,ema_cross,-0.9828057751804742
1000PEPE,SHORT,2024-08-25,2024-08-26,1,0.0094874,0.0091358,ema_cross,2.539215211754541
ZEC,LONG,2024-07-20,2024-08-29,40,29.5,33.5,ema_cross,9.431728813559321
UNI,SHORT,2024-09-01,2024-09-10,9,5.938,6.728,ema_cross,-9.372625126305154
TRX,LONG,2024-08-27,2024-09-15,19,0.16144,0.14741,ema_cross,-6.136941278493552
ONDO,SHORT,2024-09-02,2024-09-21,19,0.5909,0.689,ema_cross,-10.0
ENA,SHORT,2024-09-16,2024-09-21,5,0.2119,0.2802523962814407,cat_stop,-10.0
ETH,SHORT,2024-08-10,2024-09-22,43,2597.89,2611.4,ema_cross,-0.4201718009615555
HBAR,SHORT,2024-08-31,2024-09-22,22,0.05131,0.05603,ema_cross,-6.497866302864941
FET,LONG,2024-09-22,2024-10-06,14,1.6294,1.4048,ema_cross,-9.701090953725293
ZEC,SHORT,2024-09-11,2024-10-11,30,30.78,33.78,ema_cross,-6.881341130604289
NEAR,LONG,2024-09-30,2024-10-11,11,5.501,4.59,ema_cross,-10.0
TAO,LONG,2024-09-25,2024-10-24,29,550.17,527.34,ema_cross,-2.9595766399476435
SUI,LONG,2024-09-22,2024-10-27,35,1.4809,1.7941,ema_cross,14.742588966169217
ENA,LONG,2024-10-19,2024-11-04,16,0.4132,0.3369,ema_cross,-10.0
TRX,LONG,2024-11-01,2024-11-05,4,0.16854,0.1596716803786864,cat_stop,-3.737820698603032
TON,SHORT,2024-11-01,2024-11-10,9,4.8491,5.46075559749821,cat_stop,-8.889189289064907
ZEC,LONG,2024-10-18,2024-12-18,61,36.12,55.28,ema_cross,37.06093023255815
DOGE,LONG,2024-10-24,2024-12-19,56,0.13998,0.35809,ema_cross,108.97095327903988
ADA,LONG,2024-11-13,2024-12-20,37,0.5715,0.8802,ema_cross,37.739899212598424
TRX,LONG,2024-12-21,2024-12-22,1,0.24855,0.24484,ema_cross,-1.1004422450211202
BTC,LONG,2024-11-12,2024-12-24,42,88729.0,94861.0,ema_cross,4.779716665351802
LINK,LONG,2024-12-23,2024-12-28,5,22.083,21.558,ema_cross,-1.7195103926096955
ENA,LONG,2024-11-13,2024-12-29,46,0.5918,0.9465,ema_cross,41.882270361608654
XRP,LONG,2024-12-19,2024-12-30,11,2.3089,2.0926,ema_cross,-6.61104508640478
SOL,SHORT,2024-12-25,2025-01-05,11,196.98,216.57,ema_cross,-7.020405117270791
INJ,SHORT,2024-12-29,2025-01-07,9,21.294,25.959,ema_cross,-10.0
FET,SHORT,2025-01-02,2025-01-07,5,1.3184,1.5709,ema_cross,-10.0
HBAR,LONG,2024-12-20,2025-01-13,24,0.26743,0.27791,ema_cross,2.686050480499567
BCH,SHORT,2025-01-01,2025-01-18,17,434.35,489.32,ema_cross,-8.918528283642218
SOL,LONG,2025-01-24,2025-02-03,10,253.01,203.42,ema_cross,-10.0
BNB,SHORT,2025-02-05,2025-02-12,7,572.81,681.0336971129769,cat_stop,-10.0
ZEC,SHORT,2025-02-02,2025-03-01,27,39.18,37.57,ema_cross,2.8216181725370078
TON,SHORT,2025-01-25,2025-03-19,53,5.0655,3.5624,ema_cross,20.723604540519204
ID,SHORT,2025-01-27,2025-03-21,53,0.36644,0.26657,ema_cross,19.0295156642288
FET,SHORT,2025-01-31,2025-04-19,78,1.0456,0.5042,ema_cross,36.20371614384086
WLD,SHORT,2025-03-22,2025-04-23,32,0.8156,0.8389,ema_cross,-2.056554683668464
DOGE,SHORT,2025-03-02,2025-04-24,53,0.20663,0.17857,ema_cross,9.453682427527463
IO,SHORT,2025-03-20,2025-04-24,35,0.8671,0.7412,ema_cross,10.111829777418983
ETH,SHORT,2025-02-13,2025-04-25,71,2737.14,1768.79,ema_cross,24.71862380440898
NEAR,SHORT,2025-04-20,2025-04-25,5,2.182,2.542,ema_cross,-10.0
SUI,LONG,2025-04-29,2025-05-29,30,3.5246,3.6032,ema_cross,1.5044037905010543
TAO,LONG,2025-04-26,2025-06-03,38,353.21,403.66,ema_cross,9.938301973330322
FET,LONG,2025-04-27,2025-06-03,37,0.7796,0.782,ema_cross,0.159408927655214
WLD,LONG,2025-05-01,2025-06-04,34,1.1274,1.1878,ema_cross,3.692721660457691
BCH,LONG,2025-04-27,2025-06-06,40,354.95,384.89,ema_cross,5.8461317932103105
ZEC,LONG,2025-05-30,2025-06-15,16,53.18,44.12,ema_cross,-10.0
TRX,LONG,2025-06-04,2025-06-18,14,0.27013,0.27122,ema_cross,0.22634361233481093
UNI,LONG,2025-06-12,2025-06-21,9,8.159,6.211034140053332,cat_stop,-10.0
SUI,SHORT,2025-06-28,2025-07-10,12,2.72,3.0722,ema_cross,-9.123596176470583
ID,SHORT,2025-06-23,2025-07-11,18,0.1405,0.17013,ema_cross,-10.0
XLM,LONG,2025-07-13,2025-08-03,21,0.39277,0.36683,ema_cross,-4.677212618071648
ADA,LONG,2025-07-16,2025-08-03,18,0.7467,0.6971,ema_cross,-4.703932503013256
XRP,LONG,2025-07-15,2025-08-04,20,2.9583,2.9462,ema_cross,-0.34219855998376925
